OverallQual,GarageCars,FullBath,TotRmsAbvGrd,MSZoning,Neighborhood,Condition1,Condition2,HouseStyle,ExterQual,BsmtQual,BsmtCond,KitchenQual,GarageType,GarageFinish,PoolQC,GrLivArea,GarageArea,TotalBsmtSF,1stFlrSF,YearBuilt,BsmtFinSF1,WoodDeckSF,2ndFlrSF,OpenPorchSF,LotArea,BsmtUnfSF,SalePrice
5,2,1,5,6,6,3,3,1,3,3,3,3,2,3,0,969,440,969,969,1975,716,0,0,0,10356,253,122000
8,3,2,6,6,16,3,3,1,4,5,3,4,2,2,0,1710,866,1710,1710,2007,1400,0,0,102,13891,310,372402
6,2,2,8,6,17,3,3,4,3,3,3,3,2,2,0,1993,495,825,1097,1971,416,0,896,66,14803,409,190000
6,2,1,4,6,5,3,3,1,3,4,3,3,2,2,0,1252,564,1602,1252,1960,429,409,0,0,13500,93,235000
6,1,1,7,8,18,3,3,1,3,3,3,3,6,3,0,1200,312,1200,1200,1923,0,0,0,0,11340,1200,125000
6,0,1,5,6,8,1,3,2,3,3,3,3,0,0,0,1096,0,572,572,1924,0,0,524,8,9600,572,79000
5,2,1,5,6,0,3,3,1,3,0,0,3,6,3,0,1040,625,0,1040,1950,0,0,0,0,7200,0,109500
8,3,2,8,6,24,3,3,4,4,5,3,5,4,1,0,1968,680,774,774,2009,0,0,1194,75,12003,774,269500
7,2,2,8,3,22,3,3,4,4,4,3,4,2,2,0,1947,678,991,991,2004,222,0,956,136,12552,769,254900
7,2,2,9,6,9,3,3,4,4,4,3,4,2,2,0,2462,576,1392,1392,2005,57,239,1070,132,19378,1335,320000
6,2,2,6,6,25,3,3,1,3,4,3,3,2,3,0,1232,516,1232,1232,1984,660,0,0,0,11120,572,162500
9,3,2,10,6,16,3,3,4,4,5,3,5,4,1,0,2668,726,1572,1572,2003,1016,400,1096,0,13688,556,412500
7,2,2,7,6,16,3,3,1,4,4,3,4,2,2,0,1541,532,1541,1541,2005,1201,0,0,70,12182,340,220000
4,0,1,4,6,18,3,3,3,3,3,3,3,0,0,0,882,0,882,882,1956,0,0,0,0,5500,882,103200
6,1,2,5,8,18,3,3,1,3,3,3,4,6,3,0,1616,216,1149,1149,1926,370,0,467,0,5400,779,152000
5,0,2,6,6,8,3,3,2,3,3,3,3,0,0,0,1355,0,644,808,1940,351,140,547,0,10106,112,127500
5,1,1,7,6,5,3,3,1,4,3,3,3,2,1,0,1867,303,1617,1867,1955,379,476,0,0,10708,470,190000
8,3,1,8,6,16,3,3,4,4,5,3,5,2,1,0,2161,789,1582,1610,2007,1288,178,551,120,10562,294,325624
7,2,2,7,6,9,3,3,4,4,4,3,4,2,1,0,1720,440,840,840,2004,0,100,880,48,8244,840,183500
8,2,2,6,6,24,3,3,1,4,4,3,3,2,2,0,1707,511,1686,1707,1981,0,574,0,64,16669,1686,228000
5,2,1,7,8,18,2,3,2,3,3,3,3,6,3,0,1382,660,720,854,1941,360,237,0,0,12358,360,128500
6,2,1,7,6,0,3,3,1,3,3,4,3,2,1,0,1656,528,1080,1656,1960,639,210,0,62,31770,441,215000
7,2,2,5,6,23,3,3,4,4,4,4,4,2,2,0,1767,504,1064,1064,1987,495,441,703,35,5306,354,239000
6,2,1,6,6,0,3,3,1,3,3,3,3,2,3,0,1362,504,1362,1362,1961,288,0,0,20,10197,700,163000
6,2,2,7,6,24,3,3,1,3,4,2,3,2,1,0,1651,616,1606,1651,1986,1398,192,0,0,12416,0,184000
6,2,2,7,6,8,3,3,1,3,3,4,4,2,3,0,2158,576,1202,2158,1950,477,0,0,29,12615,725,243000
6,2,2,8,6,5,3,3,4,4,4,3,3,2,3,0,2060,521,1151,1164,1988,831,0,896,228,10029,320,211000
5,2,2,8,6,20,3,3,2,4,3,3,4,2,3,0,1920,451,1052,1252,1958,57,0,668,0,13650,554,172500
9,3,2,9,6,23,3,3,1,5,5,3,5,2,1,0,2234,1166,2216,2234,2008,1904,0,0,60,17423,312,501837
5,2,1,5,8,18,3,3,1,4,3,3,3,6,3,0,968,480,968,968,1923,0,0,0,0,8520,968,100000
6,2,2,5,3,22,3,3,4,4,4,3,4,6,3,0,1525,440,756,769,2000,436,0,756,0,2117,320,177000
7,1,1,9,6,7,3,3,4,3,2,3,3,6,3,0,1802,216,793,901,1920,352,0,901,0,7588,441,200100
5,1,1,7,6,8,1,3,1,3,0,0,3,2,2,0,1340,252,0,1340,1957,0,116,0,0,9060,0,120000
7,2,2,6,8,18,3,3,2,3,4,3,4,6,3,0,2082,484,1362,1362,2003,0,280,720,238,11426,1362,200000
5,2,1,5,6,4,5,2,2,3,2,3,3,2,3,0,1252,576,504,936,1908,0,104,316,0,7438,504,127000
10,3,2,12,8,18,1,3,5,4,3,3,5,6,3,0,3608,840,1107,1518,1892,0,0,1518,260,22950,1107,475000
7,2,2,6,6,12,3,3,8,3,4,3,4,2,3,0,1217,497,1188,1217,1990,611,168,0,27,9947,577,173000
5,1,2,8,6,18,3,3,2,3,2,3,3,6,3,0,1656,180,660,808,1916,0,0,704,0,10410,660,135000
5,2,0,6,6,21,2,3,7,3,4,3,3,6,3,0,1224,528,1086,1224,1979,1086,120,0,0,7018,0,153337
8,2,1,5,6,23,3,3,1,4,5,3,5,2,1,0,1593,682,1593,1593,2001,1153,0,0,120,4923,440,286000
8,2,2,10,6,7,3,3,4,4,4,4,4,6,3,0,2727,440,853,1549,1932,297,0,1178,74,10570,556,315000
7,2,1,7,6,0,3,3,4,3,3,3,4,2,1,0,1479,484,725,725,1972,626,0,754,32,7472,99,184000
7,2,2,6,6,6,3,3,1,4,4,3,4,2,1,0,1431,666,1431,1431,1999,560,0,0,35,9017,871,192000
7,2,2,7,8,8,3,3,4,4,4,3,4,6,3,0,1709,380,970,970,2004,0,0,739,40,2522,970,130000
5,1,1,5,6,6,3,3,1,3,3,3,3,6,3,0,864,352,864,864,1972,390,0,0,0,7180,474,127000
6,2,2,7,6,15,3,3,4,3,4,3,3,2,3,0,1456,440,855,855,1976,566,87,601,0,2280,289,148500
7,3,2,8,6,22,3,3,1,5,5,3,5,2,1,0,1726,786,1726,1726,2007,1126,171,0,138,9416,600,311872
8,2,2,8,6,0,1,3,4,4,3,3,4,6,3,4,3112,795,1360,1360,1918,1036,0,1360,16,25419,140,235000
6,0,1,8,8,18,3,3,5,3,3,3,3,0,0,0,2229,0,755,929,1912,0,0,929,198,5520,755,104000
8,3,2,7,6,16,3,3,1,4,5,3,5,2,1,0,1713,856,1713,1713,2004,1088,0,0,26,9591,625,274900
4,2,2,5,8,8,3,3,1,3,4,3,3,2,2,0,1121,440,1121,1121,2003,0,132,0,64,8546,1121,140000
6,2,2,6,6,12,3,3,1,3,3,3,3,6,3,0,1279,473,1196,1279,1977,641,238,0,83,10125,276,171500
6,1,2,6,6,18,1,3,2,3,2,3,3,2,3,0,1310,398,617,865,1924,617,0,445,0,7000,0,112000
6,2,1,3,8,6,3,3,1,4,4,3,4,2,2,0,848,420,848,848,2004,662,149,0,0,4438,186,149000
5,1,1,5,8,18,3,3,2,3,3,3,3,6,3,0,1284,240,720,720,1947,312,0,564,35,3500,408,110000
7,2,2,5,6,9,3,3,1,3,4,3,3,2,2,0,1442,500,1424,1442,1990,0,0,0,34,11851,1424,180500
5,1,1,8,6,20,9,3,1,3,3,3,3,2,2,0,1696,349,1140,1696,1962,0,0,0,30,13673,1140,143900
4,1,1,6,6,0,3,3,1,3,3,3,3,2,2,0,1100,312,1100,1100,1960,419,355,0,0,12493,375,141000
7,2,2,7,6,21,3,3,4,4,4,3,3,2,1,0,2062,454,1157,1180,1988,1065,60,882,55,14364,92,277000
6,2,1,6,6,0,3,3,1,3,4,3,3,2,2,0,1092,504,1092,1092,1964,787,0,0,0,8250,305,145000
5,0,1,5,6,8,3,3,1,3,3,3,3,0,0,0,864,0,864,864,1925,468,0,0,0,5604,396,98000
6,2,2,6,6,8,3,3,1,3,4,3,4,2,2,0,1212,460,1212,1212,2009,36,100,0,22,10420,1176,186000
7,2,2,7,3,22,3,3,4,3,4,3,4,2,2,0,1852,644,900,932,2009,822,168,920,108,8640,78,252678
5,2,1,5,6,6,3,3,1,3,4,3,3,2,3,0,990,576,990,990,1995,716,224,0,0,13568,274,156000
6,1,1,6,6,6,3,3,4,3,4,3,3,2,1,0,1392,299,689,689,1977,378,0,703,36,10900,311,161750
5,1,1,6,6,0,3,3,1,3,3,3,4,2,3,0,1236,447,1070,1236,1957,360,0,0,0,10011,710,134450
7,2,2,8,6,6,3,3,1,4,4,3,4,2,3,0,1436,484,1436,1436,2004,946,139,0,98,8450,490,210000
4,1,1,8,8,18,3,3,4,3,3,3,3,6,3,0,1328,210,686,810,1925,0,0,518,172,9906,686,107000
7,2,1,8,6,7,3,3,2,4,3,3,4,2,3,0,1954,431,798,1137,1939,341,0,817,119,15660,457,311500
7,2,2,5,6,1,3,3,1,4,4,3,4,2,1,0,1248,438,1248,1248,2005,16,108,0,0,3010,1232,167240
7,2,2,5,6,6,3,3,1,4,4,3,4,2,2,0,1498,675,1498,1498,2006,0,351,0,33,8990,1498,204900
